index,interval(ms),time(ms),command_slave,position_slave,speed_slave,command_master,position_master,speed_master,force_slave,elapsed_time(ms),command_slave_amps,position_slave_deg,command_master_amps,position_master_deg
0,1,5246,0,-3193,-2.1,2,-4927,-2.2,0.59,1.0,-2.0019550342130987,-1122.5390625,-2.0,-1732.1484375
1,16,5262,0,-3728,-2.6,2,-4122,-2.7,0.41,17.0,-2.0019550342130987,-1310.625,-2.0,-1449.140625
2,16,5278,0,-560,-0.5,2,-508,-0.8,0.61,33.0,-2.0019550342130987,-196.875,-2.0,-178.59375
3,16,5294,0,-2497,-3.3,2,-3271,-1.0,0.5,49.0,-2.0019550342130987,-877.8515625,-2.0,-1149.9609375
4,16,5310,0,-697,-5.1,2,-2291,-6.3,0.02,65.0,-2.0019550342130987,-245.0390625,-2.0,-805.4296875
5,15,5325,0,-4067,-0.1,2,-4722,-1.4,0.56,80.0,-2.0019550342130987,-1429.8046875,-2.0,-1660.078125
6,17,5342,0,-903,-0.4,2,-1488,-4.3,0.51,97.0,-2.0019550342130987,-317.4609375,-2.0,-523.125
7,15,5357,0,-2367,-2.1,2,-851,-2.1,0.49,112.0,-2.0019550342130987,-832.1484375,-2.0,-299.1796875
8,16,5373,0,-3033,-2.8,2,-3607,-1.4,0.66,128.0,-2.0019550342130987,-1066.2890625,-2.0,-1268.0859375
9,16,5389,0,-3255,-5.2,2,-909,-3.6,0.68,144.0,-2.0019550342130987,-1144.3359375,-2.0,-319.5703125
10,16,5405,0,-4999,-3.7,2,-3292,-0.6,0.35,160.0,-2.0019550342130987,-1757.4609375,-2.0,-1157.34375
11,17,5422,0,-3510,-2.6,2,-2804,-5.0,0.44,177.0,-2.0019550342130987,-1233.984375,-2.0,-985.78125
12,15,5437,0,-2278,-1.4,2,-1451,-4.6,0.36,192.0,-2.0019550342130987,-800.859375,-2.0,-510.1171875
13,16,5453,0,-3147,-6.3,2,-2592,-1.2,0.62,208.0,-2.0019550342130987,-1106.3671875,-2.0,-911.25
14,17,5470,0,-4702,-2.9,2,-1365,-5.7,0.28,225.0,-2.0019550342130987,-1653.046875,-2.0,-479.8828125
15,15,5485,0,-186,-0.7,2,-464,-1.5,0.48,240.0,-2.0019550342130987,-65.390625,-2.0,-163.125
16,16,5501,0,-885,-4.6,2,-4371,-4.9,0.21,256.0,-2.0019550342130987,-311.1328125,-2.0,-1536.6796875
17,17,5518,0,-805,-4.5,2,-4596,-3.9,0.58,273.0,-2.0019550342130987,-283.0078125,-2.0,-1615.78125
18,15,5533,0,-2812,-2.7,2,-495,-6.8,0.22,288.0,-2.0019550342130987,-988.59375,-2.0,-174.0234375
19,17,5550,0,-3434,-6.4,2,-4663,-5.2,0.31,305.0,-2.0019550342130987,-1207.265625,-2.0,-1639.3359375
20,16,5566,0,-3499,-6.3,2,-1129,-3.2,0.27,321.0,-2.0019550342130987,-1230.1171875,-2.0,-396.9140625
