index,interval(ms),time(ms),command_slave,position_slave,speed_slave,command_master,position_master,speed_master,force,elapsed_time(ms)
1,10,14,2185,-6,-0.6,2185,-2,-0.2,8.39,0
2,10,24,2185,-41,-3.5,2185,-30,-2.8,6.21,10
3,10,34,2185,-88,-4.7,2185,-65,-3.5,1.09,20
4,10,44,2185,-124,-3.6,2185,-98,-3.3,0.95,30
5,10,54,2185,-156,-3.2,2185,-129,-3.1,6.23,40
6,10,64,2185,-181,-2.5,2185,-157,-2.8,6.55,50
7,10,74,2185,-203,-2.2,2185,-183,-2.6,6.95,60
8,10,84,2185,-218,-1.5,2185,-208,-2.5,3.7,70
9,10,94,2185,-235,-1.7,2185,-236,-2.8,3.96,80
10,10,104,2185,-249,-1.4,2185,-265,-2.9,0.1,90
11,10,114,2185,-262,-1.3,2185,-298,-3.3,0.86,100
