index,interval(ms),time(ms),command_slave,position_slave,speed_slave,command_master,position_master,speed_master,force,command_slave_amps,position_slave_deg,command_master_amps,position_master_deg,elapsed_time(ms)
1,10,14,2185,-6,-0.6,2185,-2,-0.2,8.39,0.13391984359726294,-2.109375,0.13391984359726294,-0.703125,0
2,10,24,2185,-41,-3.5,2185,-30,-2.8,6.21,0.13391984359726294,-14.4140625,0.13391984359726294,-10.546875,10
3,10,34,2185,-88,-4.7,2185,-65,-3.5,1.09,0.13391984359726294,-30.9375,0.13391984359726294,-22.8515625,20
4,10,44,2185,-124,-3.6,2185,-98,-3.3,0.95,0.13391984359726294,-43.59375,0.13391984359726294,-34.453125,30
5,10,54,2185,-156,-3.2,2185,-129,-3.1,6.23,0.13391984359726294,-54.84375,0.13391984359726294,-45.3515625,40
6,10,64,2185,-181,-2.5,2185,-157,-2.8,6.55,0.13391984359726294,-63.6328125,0.13391984359726294,-55.1953125,50
7,10,74,2185,-203,-2.2,2185,-183,-2.6,6.95,0.13391984359726294,-71.3671875,0.13391984359726294,-64.3359375,60
8,10,84,2185,-218,-1.5,2185,-208,-2.5,3.7,0.13391984359726294,-76.640625,0.13391984359726294,-73.125,70
9,10,94,2185,-235,-1.7,2185,-236,-2.8,3.96,0.13391984359726294,-82.6171875,0.13391984359726294,-82.96875,80
10,10,104,2185,-249,-1.4,2185,-265,-2.9,0.1,0.13391984359726294,-87.5390625,0.13391984359726294,-93.1640625,90
11,10,114,2185,-262,-1.3,2185,-298,-3.3,0.86,0.13391984359726294,-92.109375,0.13391984359726294,-104.765625,100
12,10,124,2185,-272,-1.0,2185,-333,-3.5,8.49,0.13391984359726294,-95.625,0.13391984359726294,-117.0703125,110
